[2025-04-24 11:26:20] User -> User Add ->admin@pds| Requested JSON -> {"newusername":"saurabh","district":"admin","newpassword":"Saurabh@123"} | saurabh
[2025-04-24 11:26:31] User -> Verify User ->admin@pds| Requested JSON -> {"uid":"6809d284b4ad2"} | saurabh
[2025-04-24 11:26:40] User -> Block User ->admin@pds| Requested JSON -> {"uid":"6809d284b4ad2"} | saurabh
[2025-04-24 11:26:52] User -> Delete User ->admin@pds| Requested JSON -> {"uid":"67f8c4c819b25"} | Bajali@pds
[2025-04-24 11:27:00] User -> Delete User ->admin@pds| Requested JSON -> {"uid":"67f8c634ba027"} | Baksa@pds
[2025-04-24 11:36:12] User -> Verify User ->admin@pds| Requested JSON -> {"uid":"6809d284b4ad2"} | saurabh
[2025-04-24 12:09:58] User -> District added ->admin@pds| Requested JSON -> {"name":"aaaaaaaa"}
[2025-04-24 12:10:16] User -> District Name Edit->admin@pds| Requested JSON -> {"name":"abc","uid":"6809dcbe39a7f"}
[2025-04-24 12:10:25] User -> District deleted -> admin@pds| Requested JSON -> {"uid":"6809dcbe39a7f"} | Abc
[2025-04-24 12:10:44] User -> Send Message ->admin@pds| Requested JSON ->{"message":"sdfaf","uniqueid":"all"} | 
[2025-04-24 12:42:57] User -> Warehouse added ->admin@pds| Requested JSON -> {"name":"aaaaaaaa","type":"motorable","latitude":"18.3236","storage":"123","district":"Ahmedabad","id":"NNN","warehousetype":"swc","longitude":"45.321"}
[2025-04-24 12:43:29] User -> Warehouse Edit->admin@pds| Requested JSON -> {"name":"Aaaaaaaa","uniqueid":"WH_6809e47925f2","active":"1","type":"motorable","latitude":"18.3236","storage":"123","district":"Ahmedabad","id":"NN23123","warehousetype":"swc","longitude":"45.321"}
[2025-04-24 13:01:16] User -> Warehouse deleted -> admin@pds| Requested JSON -> {"uid":"all"} | all
[2025-04-24 13:01:34] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:34] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:34] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:34] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:34] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:34] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:34] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:34] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:34] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:34] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:34] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:34] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:34] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:34] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:34] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:34] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:35] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:35] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:35] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:35] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:35] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:35] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:35] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:35] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:35] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:35] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:35] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:35] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:35] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:35] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:35] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:35] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:35] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:35] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:35] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:35] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:35] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:35] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:35] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:35] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:35] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:35] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:35] User -> Warehouse Added -> admin@pds| dhe
[2025-04-24 13:01:35] User -> Warehouse Added -> admin@pds| dhe
